                H                      e                   e                              e_p             e_p              F1
                I     S N              _RArad              _DErad Pl      e_Plx  pmRA     mRA (m pmDE     mDE (m           (         Hpma    e_Hpma  sHp    V B-V    e_B-V  V-I
_r (deg) HIP    P Sn  o c RArad (deg)  (mas)  DErad (deg)  (mas)  x (mas) (mas)  (mas/yr) as/yr) (mas/yr) as/yr) Ntr F2    %) var    g (mag) g (mag) (mag)  A (mag)  (mag)  (mag)  HIP1 Phot
-------- ------ - --- - - ------------ ------ ------------ ------ ------- ------ -------- ------ -------- ------ --- ----- -- ------ ------- ------- ------ - ------ ------ ------ ---- ----
0.395330  17684     5 0 1 056.82151786   0.65 +23.72681305   0.35   15.52   0.73   -34.94   0.69   -25.54   0.55  52 -1.67  0    0.0  7.0983  0.0017  0.010 0  0.542  0.014  0.620 HIP1 Phot
0.323250  17692     5 0 1 056.83731961   0.68 +23.80345385   0.42    8.90   0.77    18.56   0.75   -44.31   0.60  53  0.18  0    0.0  7.0227  0.0011  0.008 0  0.030  0.001  0.050 HIP1 Phot
1.197664  17694    75 4 1 056.84535265   0.78 +22.92223155   0.53    8.62   0.84    20.91   1.04   -44.88   0.87  63  0.42  0    0.0  8.2381  0.0012  0.011 0  0.255  0.004  0.290 HIP1 Phot
0.111128  17702     5 0 1 056.87110081   0.39 +24.10524179   0.25    8.09   0.42    19.34   0.39   -43.67   0.33  53  6.56  0    0.0  2.8480  0.0006  0.004 0 -0.086  0.012 -0.010 HIP1 Phot
0.204985  17704     5 0 1 056.87267468   0.72 +24.28845290   0.54    9.42   0.75    18.33   0.87   -44.69   0.74  58  1.34  0    0.0  6.8592  0.0013  0.013 0  0.066  0.006  0.080 HIP1 Phot
1.281414  17729     5 0 1 056.94509471   0.78 +25.38580796   0.55    9.68   0.93    19.26   0.96   -46.75   0.91  64 -0.50  0    0.0  8.3816  0.0010  0.010 0  0.262  0.008  0.290 HIP1 Phot
0.907545  17759     5 0 1 057.02732727   0.65 +24.98848492   0.48    6.03   0.70   -28.00   0.78   -28.00   0.74  59  2.16  1    0.0  6.5461  0.0044  0.023 2  1.701  0.001  1.710 HIP1 Phot
0.760548  17776     5 0 1 057.08668458   0.34 +23.42136364   0.19    8.45   0.39    17.99   0.39   -46.57   0.32  58  0.29  0    0.0  5.4355  0.0008  0.005 0 -0.067  0.008 -0.010 HIP1 Phot
0.411782  17791     5 0 1 057.12535040   1.20 +24.34562943   0.87    7.87   1.32    17.68   1.48   -43.28   1.37  66  9.52  0    0.0  7.0038  0.0013  0.010 0  0.128  0.005  0.140 HIP1 Phot
1.727475  17812     5 0 1 057.17454968   1.22 +25.80075460   1.02    3.38   1.06    -2.22   1.53    -4.48   1.74  59  0.03  0    0.0  8.4829  0.0023  0.011 0  0.110  0.015  0.120 HIP1 Phot
1.388513  17828     5 0 1 057.22794172   0.81 +22.79922128   0.49    4.15   0.97     6.76   1.14    -4.45   0.93  62  0.89  0    0.0  8.1391  0.0027  0.017 0  0.050  0.015  0.060 HIP1 Phot
0.515151  17832     5 0 1 057.23713023   0.46 +23.85727235   0.28   13.22   0.52    46.63   0.53   -56.75   0.44  64 -1.37  1    0.0  6.5595  0.0008  0.006 0  0.377  0.009  0.440 HIP1 Phot
0.497514  17847    75 4 1 057.29054699   0.36 +24.05352413   0.23    8.53   0.39    17.70   0.36   -44.18   0.32  68  4.63  1    0.0  3.6084  0.0010  0.006 0 -0.070  0.015 -0.030 HIP1 Phot
0.499333  17851     5 0 1 057.29668416   0.28 +24.13682556   0.18    8.54   0.31    18.07   0.30   -47.20   0.27  68 -1.21  1    0.0  5.0295  0.0017  0.011 2 -0.082  0.004 -0.060 HIP1 Phot
0.599863  17862     5 0 1 057.34057535   0.51 +24.38106398   0.34    8.18   0.59    17.42   0.65   -45.38   0.52  73  0.41  2    0.0  6.6115  0.0012  0.007 0 -0.027  0.004 -0.020 HIP1 Phot
1.694825  17892     5 0 1 057.40903632   0.51 +22.53359199   0.31    8.30   0.66    18.52   0.80   -42.87   0.65  71  0.92  0    0.0  7.0302  0.0011  0.006 0  0.033  0.008  0.050 HIP1 Phot
0.742793  17900     5 0 1 057.43133303   0.50 +23.71196321   0.29    8.72   0.60    16.73   0.63   -44.82   0.53  70  2.26  0    0.0  6.1646  0.0009  0.006 0 -0.046  0.007 -0.020 HIP1 Phot
1.988859  17921     5 0 1 057.47940817   0.36 +22.24426274   0.20    8.86   0.42    24.31   0.48   -44.46   0.39  71  0.74  2    0.0  6.0720  0.0006  0.006 0 -0.006  0.015  0.050 HIP1 Phot
0.728821  17923    15 3 3 057.49184621   0.62 +23.84880345   0.39    6.81   0.72    16.81   0.82   -44.88   0.68  72  2.38  0    0.0  6.7608  0.0012  0.007 0  0.063  0.008  0.070 HIP1 Phot
1.678480  17928     5 0 1 057.51401483   0.58 +22.59178987   0.35   24.89   0.75   156.86   0.88   -60.62   0.73  68  0.11  0    0.0  7.4024  0.0012  0.008 0  0.538  0.015  0.610 HIP1 Phot
1.644930  17954    55 3 2 057.57881127   0.55 +25.57964845   0.43   17.71   0.55    41.00   0.70  -112.74   0.73  66  4.97  1    0.0  5.3049  0.0012  0.008 0  0.231  0.005  0.260 HIP1 Phot
